age,experience,fg_per_game,fga_per_game,x3p_per_game,x3pa_per_game,x2p_per_game,x2pa_per_game,ft_per_game,fta_per_game,orb_per_game,drb_per_game,trb_per_game,ast_per_game,stl_per_game,blk_per_game,tov_per_game,pf_per_game,pts_per_game
24.0,2,1.0,3.0,1.0,2.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,1.0,0.0,0.0,0.0,1.5,3.5
20.0,2,1.5,2.5,1.3,2.0,0.3,0.5,0.0,0.0,0.3,1.0,1.3,0.5,0.3,0.0,0.5,0.3,4.3
28.0,10,6.5,10.3,0.3,1.0,6.3,9.3,0.5,2.0,1.8,3.0,4.8,3.0,1.5,1.3,1.3,1.5,13.8
27.0,6,0.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.0,4,4.3,8.3,2.3,5.3,2.0,3.0,1.7,2.0,1.7,4.3,6.0,1.3,0.0,1.0,0.3,3.3,12.7
25.0,3,1.0,2.0,0.0,0.7,1.0,1.3,0.3,0.7,0.3,0.7,1.0,0.3,0.0,0.3,0.7,0.7,2.3
37.0,17,2.3,6.3,0.7,2.7,1.7,3.7,0.0,0.0,3.3,4.0,7.3,1.7,0.7,0.3,2.0,1.3,5.3
32.0,13,4.3,9.8,3.5,6.5,0.8,3.3,3.0,3.8,0.3,3.0,3.3,2.3,0.3,0.8,0.0,1.5,15.0
22.0,4,0.0,1.3,0.0,1.3,0.0,0.0,0.3,0.7,0.0,1.0,1.0,0.0,0.0,0.3,1.0,1.0,0.3
29.0,7,2.8,5.3,1.0,2.8,1.8,2.5,0.8,1.5,2.3,3.8,6.0,3.0,2.0,0.8,1.0,2.5,7.3
30.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,3,8.0,14.7,0.7,2.0,7.3,12.7,2.7,4.7,4.0,5.0,9.0,6.7,0.7,0.3,2.3,4.3,19.3
21.0,1,2.7,6.3,0.7,3.3,2.0,3.0,1.0,2.0,0.3,3.0,3.3,1.7,0.3,0.3,1.7,2.0,7.0
26.0,5,0.0,0.7,0.0,0.0,0.0,0.7,0.7,0.7,0.0,0.3,0.3,0.7,0.0,0.0,0.7,0.3,0.7
30.0,12,2.3,5.0,0.0,0.0,2.3,5.0,0.8,1.0,2.5,1.3,3.8,1.3,1.3,0.3,1.0,0.8,5.3
22.0,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,1.0,1.0,0.0,1.0,2.0,0.0
24.0,2,3.7,7.0,0.0,2.3,3.7,4.7,0.0,0.0,0.3,2.0,2.3,5.3,1.3,0.0,2.3,4.0,7.3
28.0,10,4.3,10.8,0.5,2.8,3.8,8.0,1.8,3.0,0.8,1.5,2.3,0.8,0.0,0.8,1.8,2.8,10.8
24.0,6,6.0,14.0,2.0,6.0,4.0,8.0,4.0,4.0,1.0,1.0,2.0,4.0,2.0,0.0,0.0,2.0,18.0
20.0,1,1.0,1.0,0.0,0.0,1.0,1.0,0.5,0.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,2.5
30.0,12,9.8,18.5,0.8,1.8,9.0,16.8,5.5,6.3,3.0,10.8,13.8,3.3,1.5,2.8,1.3,3.3,25.8
22.0,4,9.3,21.0,4.0,6.7,5.3,14.3,2.7,3.0,1.7,5.3,7.0,5.0,0.3,0.0,3.0,2.7,25.3
31.0,4,1.0,3.0,0.0,0.0,1.0,3.0,3.0,4.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,5.0
21.0,1,3.0,9.3,0.3,1.8,2.8,7.5,2.3,3.0,4.3,6.3,10.5,4.3,0.5,2.5,2.5,3.5,8.5
